               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.021344,            0.013019,                   0,             0.98113,               0.978,             0.99323,             0.79043,            0.019329,            0.012275,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.020812,            0.012932,                   0,             0.99045,              0.9749,              0.9922,             0.78722,             0.01953,            0.011954,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.020989,            0.012952,                   0,             0.99042,             0.97176,             0.99311,             0.79922,            0.019126,              0.0133,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020382,            0.012937,                   0,             0.99359,             0.97159,             0.99372,             0.78579,            0.019342,             0.01341,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.021457,            0.013505,                   0,             0.98716,             0.97179,             0.99309,             0.80541,              0.0185,            0.013445,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.020212,            0.012213,                   0,              0.9905,             0.98433,             0.99316,             0.80986,            0.018689,            0.012338,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.020497,            0.012697,                   0,             0.97819,             0.98423,             0.99341,             0.80551,             0.01924,            0.012946,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.020317,            0.012661,                   0,             0.98426,             0.98119,             0.99301,             0.78579,            0.018923,            0.012835,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.021633,            0.012997,                   0,              0.9905,             0.98095,             0.99376,             0.80635,            0.018602,            0.013563,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.019827,            0.012678,                   0,             0.98101,             0.97179,             0.99307,             0.80234,            0.018777,            0.014633,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.019594,            0.012614,                   0,             0.98125,             0.98427,             0.99376,             0.80024,            0.019127,            0.014443,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,             0.01946,            0.012279,                   0,             0.98119,             0.98111,             0.99346,             0.80805,            0.018764,            0.013543,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.019817,            0.012337,                   0,             0.99358,             0.97492,             0.99329,             0.80787,            0.018596,            0.013227,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.019081,             0.01216,                   0,              0.9873,              0.9749,             0.99325,             0.80483,            0.019704,            0.015058,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.020426,            0.012457,                   0,             0.98738,             0.98106,             0.99348,              0.8145,            0.018854,            0.014371,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.019714,            0.012162,                   0,             0.98104,             0.97492,             0.99275,              0.8045,            0.018755,            0.012943,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.019774,            0.012633,                   0,             0.99673,             0.97179,             0.99182,             0.79831,            0.018295,            0.013225,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.019687,             0.01281,                   0,             0.99043,             0.97492,             0.99345,             0.80253,            0.018543,             0.01446,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.020032,            0.012443,                   0,             0.99041,             0.97492,             0.99341,             0.80748,            0.018699,            0.014387,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.019354,            0.012165,                   0,             0.99353,             0.97806,             0.99401,             0.80146,            0.018233,            0.012825,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.019023,            0.012084,                   0,             0.98125,             0.98431,             0.99348,             0.81463,            0.017384,            0.012393,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.019036,            0.012037,                   0,             0.99042,             0.97492,             0.99297,             0.80217,            0.019097,            0.013562,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,             0.01925,            0.011925,                   0,             0.98413,             0.97169,             0.99146,             0.81645,            0.017484,            0.012132,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.019129,            0.012469,                   0,             0.99363,               0.978,             0.99346,             0.81914,            0.017558,            0.012523,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019321,            0.012549,                   0,             0.99362,             0.98119,              0.9937,             0.81829,            0.017367,            0.011533,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.018861,            0.012501,                   0,             0.98726,             0.97806,             0.99148,             0.82272,            0.017073,             0.01171,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.018707,            0.011618,                   0,             0.98117,             0.98119,             0.99265,             0.82913,            0.017564,            0.013016,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,             0.01898,            0.012126,                   0,             0.98437,             0.98743,             0.99372,             0.82278,              0.0184,            0.012573,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.019198,            0.012489,                   0,             0.99679,             0.97492,              0.9936,             0.82043,            0.018014,            0.012432,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.019416,            0.011686,                   0,             0.99678,             0.97153,             0.99335,             0.80664,            0.018218,            0.012319,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.017988,            0.011688,                   0,             0.99359,              0.9717,             0.99359,             0.81455,            0.017204,            0.011504,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.019405,            0.012326,                   0,             0.98738,             0.98114,             0.99308,             0.82308,            0.017861,            0.012499,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.018502,            0.011776,                   0,             0.98433,             0.98431,             0.99299,             0.82158,            0.017944,            0.013689,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.018316,            0.011738,                   0,             0.99048,             0.98119,             0.99295,             0.81895,            0.018537,            0.012585,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.018169,            0.011794,                   0,             0.98734,               0.978,             0.99293,             0.82042,            0.018078,            0.012655,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.018131,            0.011956,                   0,             0.99043,             0.98119,             0.99376,             0.82138,            0.017324,            0.012074,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.017763,            0.011284,                   0,             0.98738,             0.98113,             0.99323,             0.81935,            0.017036,            0.012553,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.018701,            0.011964,                   0,             0.99363,             0.97778,             0.99353,             0.81871,            0.017608,            0.012831,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.018252,            0.011459,                   0,             0.99054,             0.98422,             0.99407,             0.82462,            0.017644,            0.012677,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.018106,            0.011823,                   0,             0.98734,             0.97806,             0.99337,             0.82531,             0.01725,            0.012717,                   0,           0.0072872,           0.0072872,           0.0072872
